state,year,bias,perc,id,color
AK,1993,Anti-Asian,3.5087719298245617,2,red
AK,1993,"Anti-Multiple Races, Group",1.7543859649122808,2,red
AK,1993,Anti-Lesbian (Female),1.7543859649122808,2,red
AK,1993,Anti-Gay (Male),3.5087719298245617,2,red
AK,1993,Anti-Black or African American,19.29824561403509,2,red
AK,1993,Anti-White,7.017543859649123,2,red
AK,1993,Anti-Other Race/Ethnicity/Ancestry,1.7543859649122808,2,red
AK,1993,Anti-LGBT,3.5087719298245617,2,red
AK,1994,Anti-Black or African American,5.0675675675675675,2,red
AK,1994,Anti-American Indian or Alaska Native,3.3783783783783785,2,red
AK,1994,Anti-White,6.756756756756757,2,red
AK,1995,Anti-White,1.5873015873015872,2,red
AK,1995,Anti-Asian,1.5873015873015872,2,red
AK,1995,Anti-American Indian or Alaska Native,1.5873015873015872,2,red
AK,1995,Anti-Black or African American,4.761904761904763,2,red
AK,1995,Anti-Gay (Male),1.5873015873015872,2,red
AK,1995,"Anti-Multiple Races, Group",1.5873015873015872,2,red
AK,1996,Anti-Black or African American,7.610350076103501,2,red
AK,1996,Anti-American Indian or Alaska Native,1.5220700152207,2,red
AK,1996,Anti-Lesbian (Female),1.5220700152207,2,red
AK,1996,Anti-Other Race/Ethnicity/Ancestry,1.5220700152207,2,red
AK,1996,Anti-Gay (Male),1.5220700152207,2,red
AK,1997,Anti-Asian,1.5625,2,red
AK,1997,Anti-Jewish,1.5625,2,red
AK,1997,Anti-Catholic,1.5625,2,red
AK,1997,Anti-LGBT,1.5625,2,red
AK,1997,Anti-Protestant,1.5625,2,red
AK,1997,Anti-Black or African American,7.8125,2,red
AK,1999,Anti-Black or African American,3.1746031746031744,2,red
AK,1999,Anti-Jewish,3.1746031746031744,2,red
AK,1999,Anti-White,1.5873015873015872,2,red
AK,2000,Anti-Black or African American,6.451612903225806,2,red
AK,2001,Anti-Other Race/Ethnicity/Ancestry,1.5822784810126582,2,red
AK,2001,Anti-Gay (Male),1.5822784810126582,2,red
AK,2001,Anti-American Indian or Alaska Native,18.9873417721519,2,red
AK,2001,Anti-White,1.5822784810126582,2,red
AK,2001,Anti-Islamic (Muslim),3.1645569620253164,2,red
AK,2001,Anti-Black or African American,4.746835443037975,2,red
AK,2002,Anti-American Indian or Alaska Native,3.1645569620253164,2,red
AK,2002,Anti-Black or African American,3.1645569620253164,2,red
AK,2002,Anti-Gay (Male),4.746835443037975,2,red
AK,2003,Anti-White,1.5552099533437014,2,red
AK,2003,Anti-American Indian or Alaska Native,9.33125972006221,2,red
AK,2003,Anti-Gay (Male),4.665629860031105,2,red
AK,2003,Anti-Asian,1.5552099533437014,2,red
AK,2003,Anti-Black or African American,3.1104199066874028,2,red
AK,2004,Anti-Hispanic or Latino,1.5432098765432098,2,red
AK,2004,Anti-Asian,1.5432098765432098,2,red
AK,2004,Anti-Black or African American,9.25925925925926,2,red
AK,2004,Anti-American Indian or Alaska Native,1.5432098765432098,2,red
AK,2005,Anti-Black or African American,3.0441400304414,2,red
AK,2005,Anti-American Indian or Alaska Native,3.0441400304414,2,red
AK,2006,Anti-American Indian or Alaska Native,1.5197568389057752,2,red
AK,2006,Anti-Black or African American,3.0395136778115504,2,red
AK,2006,"Anti-Multiple Races, Group",1.5197568389057752,2,red
AK,2006,Anti-Gay (Male),3.0395136778115504,2,red
AK,2007,"Anti-Multiple Races, Group",1.4814814814814814,2,red
AK,2007,Anti-Gay (Male),2.962962962962963,2,red
AK,2007,Anti-Mental/Physical Disability,1.4814814814814814,2,red
AK,2007,Anti-Black or African American,5.925925925925926,2,red
AK,2008,Anti-Gay (Male),1.488095238095238,2,red
AK,2008,Anti-Other Religion,1.488095238095238,2,red
AK,2008,Anti-Jewish,1.488095238095238,2,red
AK,2008,Anti-Asian,1.488095238095238,2,red
AK,2008,Anti-Black or African American,2.976190476190476,2,red
AK,2008,Anti-White,1.488095238095238,2,red
AK,2008,"Anti-Multiple Races, Group",1.488095238095238,2,red
AK,2009,Anti-Lesbian (Female),1.4534883720930232,2,red
AK,2009,Anti-LGBT,1.4534883720930232,2,red
AK,2009,Anti-American Indian or Alaska Native,8.720930232558139,2,red
AK,2009,Anti-White,1.4534883720930232,2,red
AK,2010,Anti-Islamic (Muslim),1.4388489208633093,2,red
AK,2010,Anti-Gay (Male),1.4388489208633093,2,red
AK,2010,Anti-Other Race/Ethnicity/Ancestry,1.4388489208633093,2,red
AK,2010,Anti-White,2.8776978417266186,2,red
AK,2010,Anti-Mental/Physical Disability,1.4388489208633093,2,red
AK,2010,Anti-Black or African American,1.4388489208633093,2,red
AK,2011,Anti-White,1.4044943820224718,2,red
AK,2011,Anti-Protestant,1.4044943820224718,2,red
AK,2011,Anti-Islamic (Muslim),1.4044943820224718,2,red
AK,2011,Anti-Black or African American,2.8089887640449436,2,red
AK,2011,Anti-American Indian or Alaska Native,2.8089887640449436,2,red
AK,2011,Anti-Lesbian (Female),1.4044943820224718,2,red
AK,2012,Anti-American Indian or Alaska Native,1.4245014245014245,2,red
AK,2012,Anti-White,1.4245014245014245,2,red
AK,2012,Anti-Asian,1.4245014245014245,2,red
AK,2012,Anti-Islamic (Muslim),1.4245014245014245,2,red
AK,2012,Anti-Black or African American,2.849002849002849,2,red
AK,2016,Anti-White,2.824858757062147,2,red
AK,2016,Anti-American Indian or Alaska Native,2.824858757062147,2,red
AK,2016,Anti-Black or African American,8.474576271186441,2,red
AK,2016,Anti-Asian,1.4124293785310735,2,red
AK,2017,Anti-White,2.7816411682892905,2,red
AK,2017,"Anti-Multiple Races, Group",1.3908205841446453,2,red
AK,2017,Anti-Other Christian,1.3908205841446453,2,red
AK,2018,Anti-White,2.7777777777777777,2,red
AK,2018,Anti-Catholic,1.3888888888888888,2,red
AK,2018,Anti-Mental/Physical Disability,1.3888888888888888,2,red
AK,2018,Anti-Black or African American,2.7777777777777777,2,red
AK,2018,Anti-Protestant,1.3888888888888888,2,red
AL,1992,Anti-White,0.236630383341221,1,red
AL,1992,Anti-Black or African American,0.709891150023663,1,red
AL,1993,Anti-Black or African American,0.9596928982725528,1,red
AL,1993,Anti-White,0.2399232245681382,1,red
AL,2002,Anti-Black or African American,0.2256317689530686,1,red
AL,2002,Anti-White,0.2256317689530686,1,red
AL,2003,Anti-Black or African American,0.22639800769753224,1,red
AL,2004,Anti-Black or African American,0.6654835847382431,1,red
AL,2007,Anti-Asian,0.21901007446342532,1,red
AL,2007,Anti-Black or African American,1.0950503723171265,1,red
AL,2007,Anti-Gay (Male),0.21901007446342532,1,red
AL,2008,Anti-White,0.21204410517387617,1,red
AL,2008,Anti-Islamic (Muslim),0.21204410517387617,1,red
AL,2008,Anti-Gay (Male),0.42408821034775235,1,red
